DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,GADM Admin Units,Entry Date,Last Update
2026-0253-GNB,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),GLIDE:FR-2026-000055,'Tucunde' Fire,GNB,Guinea-Bissau,Sub-Saharan Africa,Africa,Bolama/Bijago,,,No,No,No,,,Km2,,,,2026,3,24,2026,3,24,,,2051,,2051,,,,,,,,,,2026-04-14,2026-07-24
2025-1054-CHL,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,GLIDE:WF-2026-000003,,CHL,Chile,Latin America and the Caribbean,Americas,"Valparaíso, Santiago Metropolitan, O’Higgins, Maule; Ránquil, San Nicolás, Coelemu, San Fabián, Quillón, and El Carmen (Ñuble); Concepción, Penco, Tomé, Santa Juana, Coronel, Florida, and Laja (Biobío), Los Lagos, Los Rios, Magallanes, Araucanía, Aysén regions",High temperatures and strong winds,,No,No,Yes,,,Km2,,,,2025,12,14,2026,1,28,23,333,21700,,22033,,,,,400000,400000,100,,,2025-12-18,2026-07-30
2026-0018-AUS,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,AUS,Australia,Australia and New Zealand,Oceania,Victoria (New South Wales),Warm temperatures and powerful winds,Heat wave,No,No,Yes,,,Km2,,,,2026,1,6,2026,1,28,1,,780,,780,,,600000,,1000000,,,,,2026-01-09,2026-07-30
2026-0467-FRA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,FRA,France,Western Europe,Europe,"Le Porge, Le Temple, Saumos, Lège Cap Ferret, Marcheprime, Cestas, Saint-Jean-d’Illac, and Martignas (Gironde)","Heatwaves, strong winds, and drought-stressed vegetation",,No,No,No,,,Km2,,,,2026,7,22,2026,7,30,,126,2040,720,2886,,,,,,,,,,2026-07-23,2026-07-31
2023-0534-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,Gray fire and the Oregon fire,USA,United States of America,Northern America,Americas,Spokane County (eastern Washington State),,,No,No,No,,,Km2,,,,2023,8,,2023,8,22,2,1,720,81,802,,,,,1090000,1151677,94.64462201,,,2023-08-23,2026-08-07
2026-0427-DZA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),GLIDE:WF-2026-000138,,DZA,Algeria,Northern Africa,Africa,"Annaba, Souk Ahras, Skikda, Guelma, Bouira, Médéa, Mila, Mascara, El Tarf, Jijel, Sétif, Béjaïa, Tlemcen, Saïda, Tissemsilt, Biskra and Chlef.",,,No,No,No,,,Km2,,,,2026,7,8,2026,7,22,6,,10000,,10000,,,,,,,,,,2026-07-16,2026-08-05
2025-0652-FRA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,FRA,France,Western Europe,Europe,"Ribaute (Aude department,)","Winds gusting to 60-70 km/h (37-43 mph), temperatures above 32 ° C and relative humidity below 25%.",,No,No,No,,,Km2,,,,2025,8,5,2025,8,9,1,25,,108,133,,,,,,,100,,,2025-08-06,2026-08-26
2025-0459-ESP,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,ESP,Spain,Southern Europe,Europe,"Torrefeta i Florejacs, Vilanova de l'Aguda, Calabona, Olliola and Agramunt municipalities (Lleida province)",,Heat wave,No,No,No,,,Km2,,,,2025,7,1,2025,7,2,2,1,14000,,14001,,,,,,,100,,,2025-07-03,2026-08-26
2025-0477-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,'Rowena' fire,USA,United States of America,Northern America,Americas,Wasco County (Oregon),,,No,No,No,,,Km2,,,,2025,6,11,2025,6,20,,2,,168,170,,,,,10000,10000,100,,"[{""gid_2"":""USA.38.33_1"",""name_2"":""Wasco""}]",2025-07-07,2026-08-28
2025-0508-ESP,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,ESP,Spain,Southern Europe,Europe,"Paüls municipality (Baix Ebre comarca, Tarragona province, Catalonia)",,,No,No,No,,,Km2,,,,2025,7,7,2025,7,9,1,4,18000,,18004,,,,,,,100,,,2025-07-10,2026-08-26
2025-0676-ESP,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,ESP,Spain,Southern Europe,Europe,"Las Médulas (Castille-et-León), Zamora, Galicia region, Tarifa municipality (Cádiz province), Andalusia, Tres Cantos municipality, Community of Madrid, Extremadura and Asturias regions",Strong winds,Heat wave,No,No,Yes,,,Km2,,,,2025,8,9,2025,8,31,4,44,,,44,,,,,,,100,,,2025-08-12,2026-08-28
2001-0699-AUS,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,'Warragamba' bushfires,AUS,Australia,Australia and New Zealand,Oceania,"Sydney (Ashfield (A), Auburn (C), Bankstown (C), Botany Bay (C), Burwood (A), Canada Bay (A), Canterbury (C), Holroyd (C), Hunters Hill (A), Hurstville (C), Kogarah (C), Ku-ring-gai (A), Lane Cove (A), Leichhardt (A), Manly (A), Marrickville (A), Mosman (A), North Sydney (A), Parramatta (C), Pittwater (A), Randwick (C), Rockdale (C), Ryde (C), Strathfield (A), Sutherland Shire (A), Sydney (C), Warringah (A), Waverley (A), Willoughby (C), Woollahra (A) districts, New South Wales province), Canberra (Unincorporated ACT district, Australian Capital Territory province)",,,Yes,No,Yes,,5500,Km2,,,,2001,12,25,2002,1,13,,,4400,,4400,,,35000,63637,90000,163638,54.99938527,"[{""adm2_code"":4940,""adm2_name"":""Unincorporated ACT""},{""adm2_code"":4944,""adm2_name"":""Ashfield (A)""},{""adm2_code"":4945,""adm2_name"":""Auburn (C)""},{""adm2_code"":4948,""adm2_name"":""Bankstown (C)""},{""adm2_code"":4963,""adm2_name"":""Botany Bay (C)""},{""adm2_code"":4967,""adm2_name"":""Burwood (A)""},{""adm2_code"":4972,""adm2_name"":""Canterbury (C)""},{""adm2_code"":5020,""adm2_name"":""Holroyd (C)""},{""adm2_code"":5023,""adm2_name"":""Hunters Hill (A)""},{""adm2_code"":5024,""adm2_name"":""Hurstville (C)""},{""adm2_code"":5030,""adm2_name"":""Kogarah (C)""},{""adm2_code"":5031,""adm2_name"":""Ku-ring-gai (A)""},{""adm2_code"":5035,""adm2_name"":""Lane Cove (A)""},{""adm2_code"":5044,""adm2_name"":""Manly (A)""},{""adm2_code"":5045,""adm2_name"":""Marrickville (A)""},{""adm2_code"":5048,""adm2_name"":""Mosman (A)""},{""adm2_code"":5060,""adm2_name"":""North Sydney (A)""},{""adm2_code"":5066,""adm2_name"":""Parramatta (C)""},{""adm2_code"":5069,""adm2_name"":""Pittwater (A)""},{""adm2_code"":5073,""adm2_name"":""Randwick (C)""},{""adm2_code"":5075,""adm2_name"":""Rockdale (C)""},{""adm2_code"":5076,""adm2_name"":""Ryde (C)""},{""adm2_code"":5085,""adm2_name"":""Strathfield (A)""},{""adm2_code"":5086,""adm2_name"":""Sutherland Shire (A)""},{""adm2_code"":5104,""adm2_name"":""Warringah (A)""},{""adm2_code"":5105,""adm2_name"":""Waverley (A)""},{""adm2_code"":5109,""adm2_name"":""Willoughby (C)""},{""adm2_code"":5114,""adm2_name"":""Woollahra (A)""},{""adm2_code"":143252,""adm2_name"":""Canada Bay (A)""},{""adm2_code"":154629,""adm2_name"":""Leichhardt (A)""},{""adm2_code"":154637,""adm2_name"":""Sydney (C)""}]","[{""gid_2"":""AUS.2.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Unincorporated Australian Capita""},{""gid_2"":""AUS.5.101_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""North Sydney""},{""gid_2"":""AUS.5.106_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Parramatta""},{""gid_2"":""AUS.5.108_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Pittwater""},{""gid_2"":""AUS.5.112_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Randwick""},{""gid_2"":""AUS.5.114_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Rockdale""},{""gid_2"":""AUS.5.115_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Ryde""},{""gid_2"":""AUS.5.120_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Strathfield""},{""gid_2"":""AUS.5.121_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Sutherland""},{""gid_2"":""AUS.5.122_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Sydney""},{""gid_2"":""AUS.5.140_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Warringah""},{""gid_2"":""AUS.5.142_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Waverley""},{""gid_2"":""AUS.5.146_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Willoughby""},{""gid_2"":""AUS.5.150_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Woollahra""},{""gid_2"":""AUS.5.19_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Botany Bay""},{""gid_2"":""AUS.5.23_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Burwood""},{""gid_2"":""AUS.5.28_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Canada Bay""},{""gid_2"":""AUS.5.29_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Canterbury""},{""gid_2"":""AUS.5.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Ashfield""},{""gid_2"":""AUS.5.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Auburn""},{""gid_2"":""AUS.5.65_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Holroyd""},{""gid_2"":""AUS.5.67_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Hunters Hill""},{""gid_2"":""AUS.5.68_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Hurstville""},{""gid_2"":""AUS.5.74_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Kogarah""},{""gid_2"":""AUS.5.75_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Ku-ring-gai""},{""gid_2"":""AUS.5.79_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Lane Cove""},{""gid_2"":""AUS.5.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Bankstown""},{""gid_2"":""AUS.5.81_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Leichhardt""},{""gid_2"":""AUS.5.88_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Manly""},{""gid_2"":""AUS.5.89_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Marrickville""},{""gid_2"":""AUS.5.92_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Mosman""}]",2005-12-01,2026-08-26
2025-0497-FRA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,FRA,France,Western Europe,Europe,"Pennes-Mirabeau municipality (Marseille, Bouches-du-Rhône)",Drought and strong winds (Mistral),,No,No,No,,,Km2,,,,2025,7,8,2025,7,9,,110,210,30,350,,,,,10000,10000,100,,,2025-07-09,2026-08-26
2025-0429-GRC,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,GRC,Greece,Southern Europe,Europe,"Agios Markos Vrontados, Agios Panteleimon, Kastromina, Paryfes, Gialourika, Panagia, and Voitheia (Chios Isl.)",,,No,No,Yes,,,Km2,,,,2025,6,22,2025,6,25,,,,60,60,,,,,,,100,,,2025-07-01,2026-08-26
2024-0403-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,' South Fork' and 'Salt' fires,USA,United States of America,Northern America,Americas,"Otero and Lincoln Counties (New Mexico); California, Washington states",,,No,No,Yes,,,Km2,,,,2024,6,17,2024,7,15,2,2,1500,,1502,,,800000,821050,1200000,1231575,97.43617562,"[{""adm1_code"":3218,""adm1_name"":""California""},{""adm1_code"":3261,""adm1_name"":""Washington""},{""adm2_code"":30486,""adm2_name"":""Lincoln""},{""adm2_code"":30491,""adm2_name"":""Otero""}]","[{""gid_1"":""USA.48_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Washington""},{""gid_1"":""USA.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""California""},{""gid_2"":""USA.32.15_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Lincoln""},{""gid_2"":""USA.32.20_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Otero""}]",2024-06-21,2026-09-01
2002-0351-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,'Hayman' fire,USA,United States of America,Northern America,Americas,"Douglas, Jefferson, Park, and Teller counties (Colorado state)",,,No,No,No,,770,Km2,,,,2002,6,8,2002,7,18,6,,1500,72,1572,,,,,20000,35796,55.87169607,,,2003-07-01,2026-09-01
2026-0554-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,Fire 'Hawk',USA,United States of America,Northern America,Americas,Washoe county (Nevada),,,No,No,Yes,,,Km2,,,,2026,8,23,2026,8,23,,7,,141,148,,,,,,,,,,2026-08-24,2026-09-10
2026-0504-GRC,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,GRC,Greece,Southern Europe,Europe,Porto Germeno (near Athène),,,No,No,No,,,Km2,,,,2026,7,31,2026,8,,2,,300,,300,,,,,,,,,,2026-08-05,2026-09-10
2026-0564-DZA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,DZA,Algeria,Northern Africa,Africa,"Béjaïa, Jijel et Tizi-Ouzou",Heat wave and strong winds,,No,No,No,,,Km2,,,,2026,8,26,2026,8,27,12,54,,,54,,,,,,,,,,2026-08-28,2026-09-08
2003-0518-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,'Cedar' fire,USA,United States of America,Northern America,Americas,"Fontana, Rancho Cucamonga areas (San Bernardino district, California province)",,,No,No,Yes,,1133,Km2,,,,2003,10,25,2003,11,4,15,113,,6696,6809,,,,,1331000,2329365,57.14003527,"[{""adm2_code"":28900,""adm2_name"":""San Bernardino""}]","[{""gid_2"":""USA.5.36_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""San Bernardino""}]",2004-03-10,2026-09-11
2003-0518-MEX,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,'Cedar' fire,MEX,Mexico,Latin America and the Caribbean,Americas,"Baja California, Chihuahua, Sonora provinces",,,No,No,No,,,Km2,,,,2003,10,25,2003,11,4,2,,,,,,,,,,,57.14003527,"[{""adm1_code"":2029,""adm1_name"":""Baja California""},{""adm1_code"":2033,""adm1_name"":""Chihuahua""},{""adm1_code"":2053,""adm1_name"":""Sonora""}]","[{""gid_1"":""MEX.26_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Sonora""},{""gid_1"":""MEX.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Baja California""},{""gid_1"":""MEX.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Chihuahua""}]",2014-06-23,2026-09-11
2026-0525-HRV,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,HRV,Croatia,Southern Europe,Europe,"Lokva Rogoznica (Split-Dalmatia County), Omis region",,,No,No,No,,,Km2,,,,2026,8,13,2026,8,14,1,40,180,,220,,,,,127570,,,,,2026-08-17,2026-09-14
2003-0030-AUS,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,AUS,Australia,Australia and New Zealand,Oceania,"Canberra region (Unincorporated ACT district, Australian Capital Territory province); Alpine National Park and Mount Buffalo National Park in north-eastern Victoria,","High temperature, high winds, lightning strikes",,Yes,No,No,,30000,Km2,,,,2003,1,8,2003,1,21,4,150,2500,,2650,,,264000,462023,300000,525026,57.14003527,,,2004-08-12,2026-09-14
2026-0013-ARG,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,ARG,Argentina,Latin America and the Caribbean,Americas,Chubut province (Patagonia region); Buenos Aires province,,,No,No,No,,,Km2,,,,2026,1,5,2026,1,24,,1,3000,,3001,,,,,,,,,,2026-01-08,2026-02-16
2000-0465-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Arizona, California, Colorado, Idaho, Montana, Nevada, New Mexico, Oregon, South Dakota, Texas, Utah, Washington, Wyoming, Florida, North Dakota provinces",,,No,No,No,,680000,Km2,,,,2000,7,,2000,8,,14,,1000,,1000,,,,,1000000,1869587,53.48773668,"[{""adm1_code"":3216,""adm1_name"":""Arizona""},{""adm1_code"":3218,""adm1_name"":""California""},{""adm1_code"":3219,""adm1_name"":""Colorado""},{""adm1_code"":3223,""adm1_name"":""Florida""},{""adm1_code"":3226,""adm1_name"":""Idaho""},{""adm1_code"":3240,""adm1_name"":""Montana""},{""adm1_code"":3242,""adm1_name"":""Nevada""},{""adm1_code"":3245,""adm1_name"":""New Mexico""},{""adm1_code"":3248,""adm1_name"":""North Dakota""},{""adm1_code"":3251,""adm1_name"":""Oregon""},{""adm1_code"":3255,""adm1_name"":""South Dakota""},{""adm1_code"":3257,""adm1_name"":""Texas""},{""adm1_code"":3258,""adm1_name"":""Utah""},{""adm1_code"":3261,""adm1_name"":""Washington""},{""adm1_code"":3264,""adm1_name"":""Wyoming""}]","[{""gid_1"":""USA.10_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Florida""},{""gid_1"":""USA.13_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Idaho""},{""gid_1"":""USA.27_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Montana""},{""gid_1"":""USA.29_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Nevada""},{""gid_1"":""USA.32_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""New Mexico""},{""gid_1"":""USA.35_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""North Dakota""},{""gid_1"":""USA.38_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Oregon""},{""gid_1"":""USA.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Arizona""},{""gid_1"":""USA.42_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""South Dakota""},{""gid_1"":""USA.44_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Texas""},{""gid_1"":""USA.45_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Utah""},{""gid_1"":""USA.48_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Washington""},{""gid_1"":""USA.51_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Wyoming""},{""gid_1"":""USA.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""California""},{""gid_1"":""USA.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Colorado""}]",2007-08-27,2025-12-20
2026-0151-CAF,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,CAF,Central African Republic,Sub-Saharan Africa,Africa,Bezanga and Ndoubamoudou villages; Sido (Ouham Fafa prefecture),,,No,No,No,,,Km2,,,,2026,2,27,2026,2,28,,2,,1350,1352,,,,,,,,,,2026-03-06,2026-03-09
2026-0094-CMR,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,CMR,Cameroon,Sub-Saharan Africa,Africa,"Ndaba Bergérie, Camp Lélédé, Kordo Bergérie, and later Camp Lélédé Tribune (Kolofata, Mayo‑Sava, Far North)",,,No,No,No,,,Km2,,,,2026,2,7,2026,2,7,1,15,23184,,23199,,,,,,,,,,2026-02-11,2026-03-23
2019-0640-CHL,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,CHL,Chile,Latin America and the Caribbean,Americas,"Rocuant, San Roque (Valparaiso)",,,No,No,Yes,,,Km2,,,,2019,12,24,2019,12,26,,12,,735,747,,,,,,,79.4107846,"[{""adm2_code"":149634,""adm2_name"":""Valparaiso""}]",,2020-01-03,2023-09-25
2019-0513-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,Saddleridge fire & Sandalwood fire,USA,United States of America,Northern America,Americas,Los Angeles and Riverside counties (California),,,No,No,No,,,Km2,,,,2019,10,10,2019,10,17,3,12,312,279,603,,,,,325000,409264,79.4107846,"[{""adm2_code"":28883,""adm2_name"":""Los Angeles""},{""adm2_code"":28897,""adm2_name"":""Riverside""}]","[{""gid_2"":""USA.5.19_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Los Angeles""},{""gid_2"":""USA.5.33_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Riverside""}]",2019-10-28,2025-12-20
2020-0428-NZL,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,NZL,New Zealand,Australia and New Zealand,Oceania,Lake Ohau (Canterbury),High winds,,No,No,No,,,Km2,,,,2020,10,4,2020,10,5,,,195,,195,,,,,10000,12439,80.39038301,"[{""adm1_code"":2173,""adm1_name"":""Canterbury""}]","[{""gid_1"":""NZL.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Canterbury""}]",2020-10-15,2025-12-20
2020-0447-LBN,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),GLIDE:FR-2020-000208,,LBN,Lebanon,Western Asia,Asia,"Chouf, Akkar regions","Heat wave, winds",,No,No,No,,,Km2,,,,2020,10,8,2020,10,10,,,,,,,,,,,,80.39038301,"[{""adm2_code"":18797,""adm2_name"":""Akkar""},{""adm2_code"":18809,""adm2_name"":""Chouf""}]","[{""gid_2"":""LBN.1.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Akkar""},{""gid_2"":""LBN.5.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Chouf""}]",2020-10-16,2025-12-20
2019-0428-PER,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,PER,Peru,Latin America and the Caribbean,Americas,,,,No,No,No,,,Km2,,,,2019,1,,2019,8,,,,,,,,,,,,,79.4107846,,,2019-10-01,2023-09-25
2019-0149-KOR,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,KOR,Republic of Korea,Eastern Asia,Asia,Gangwon province,,,No,No,Yes,,,Km2,,,,2019,4,4,2019,4,5,1,35,3000,,3035,,,,,,,79.4107846,"[{""adm1_code"":2437,""adm1_name"":""Kang-won-do""}]","[{""gid_1"":""KOR.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Gangwon-do""}]",2019-04-11,2025-12-20
2021-0357-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,Telegraph and Mescal Fires,USA,United States of America,Northern America,Americas,"Pinas and Gila counties (Arizona); Montana, Utah",,,No,No,No,,,Km2,,,,2021,6,6,2021,7,4,,25,30,123,178,,,,,10000,11881,84.16698296,"[{""adm1_code"":3240,""adm1_name"":""Montana""},{""adm1_code"":3258,""adm1_name"":""Utah""},{""adm2_code"":28778,""adm2_name"":""Gila""},{""adm2_code"":28786,""adm2_name"":""Pinal""}]","[{""gid_1"":""USA.27_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Montana""},{""gid_1"":""USA.45_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Utah""},{""gid_2"":""USA.3.12_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Pinal""},{""gid_2"":""USA.3.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Gila""}]",2021-06-28,2025-12-20
2021-0434-ITA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),GLIDE:WF-2021-000103,,ITA,Italy,Southern Europe,Europe,"Oristano, Nuoro Provinces (Sardinia)",,,No,No,Yes,,,Km2,,,,2021,7,23,2021,7,25,,,11600,,11600,,,,,59000,70099,84.16698296,"[{""adm2_code"":18387,""adm2_name"":""Nuoro""},{""adm2_code"":18388,""adm2_name"":""Oristano""}]","[{""gid_2"":""ITA.14.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Nuoro""},{""gid_2"":""ITA.14.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Ogliastra""},{""gid_2"":""ITA.14.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Oristano""}]",2021-07-26,2025-12-20
2021-0504-TUN,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,GLIDE:WF-2021-000106,,TUN,Tunisia,Northern Africa,Africa,"Ain Mazer, Sakiet Sidi Youssef district, Kef governorate; Ghar Dimaa delegation, Jendouba Governorate; Kasserine",,,No,No,No,,,Km2,,,,2021,7,24,2021,8,10,,,1000,,1000,,,,,,,84.16698296,"[{""adm1_code"":3001,""adm1_name"":""Kasserine""},{""adm2_code"":39303,""adm2_name"":""Ghardimaou""},{""adm2_code"":39346,""adm2_name"":""Sakiet Sidi Youssef""}]","[{""gid_1"":""TUN.9_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Kassérine""},{""gid_2"":""TUN.11.10_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Sakiet Sidi Youssef""},{""gid_2"":""TUN.7.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Ghardimaou""}]",2021-08-12,2025-12-20
